id_garantie,numero_garantie,id_contrat,type_garantie,valeur,date_affectation
1,GAR_000001,1,Garantie sur matériel,5792210.57,2022-02-05
2,GAR_000002,1,Garantie sur matériel,4965903.81,2022-02-03
3,GAR_000003,2,Hypothèque,971105.6,2021-03-07
4,GAR_000004,3,Caution personnelle,86564.24,2024-11-20
5,GAR_000005,4,Caution bancaire,834628.86,2024-12-01
6,GAR_000006,4,Caution bancaire,896106.91,2024-11-28
7,GAR_000007,5,Nantissement,17046677.19,2024-06-24
8,GAR_000008,6,Nantissement,1769096.0,2024-12-19
9,GAR_000009,7,Caution personnelle,100111.35,2024-12-12
10,GAR_000010,8,Caution personnelle,126030.95,2022-11-27
11,GAR_000011,9,Caution personnelle,780933.91,2024-05-25
12,GAR_000012,10,Garantie sur matériel,8906161.89,2020-06-29
13,GAR_000013,11,Garantie sur matériel,198611.13,2024-09-13
14,GAR_000014,11,Caution bancaire,226772.75,2024-09-13
15,GAR_000015,13,Hypothèque,13953356.83,2016-08-05
16,GAR_000016,14,Caution personnelle,71244.29,2024-07-16
17,GAR_000017,15,Caution personnelle,83279.92,2024-07-07
18,GAR_000018,16,Caution personnelle,105749.61,2024-06-19
19,GAR_000019,17,Garantie de l'État,21722136.47,2024-11-06
20,GAR_000020,17,Garantie sur créances,15862926.94,2024-11-07
21,GAR_000021,18,Garantie sur fonds de commerce,5222821.53,2024-11-15
22,GAR_000022,20,Nantissement,38123472.15,2024-10-29
23,GAR_000023,21,Aval,2599484.46,2023-01-30
24,GAR_000024,21,Hypothèque,3912468.56,2023-01-25
25,GAR_000025,21,Garantie sur fonds de commerce,3871008.89,2023-01-30
26,GAR_000026,22,Garantie de l'État,1231014.64,2024-06-19
27,GAR_000027,22,Garantie sur créances,1105930.37,2024-06-24
28,GAR_000028,22,Garantie de l'État,1220375.2,2024-06-20
29,GAR_000029,23,Hypothèque,9315186.29,2024-10-08
30,GAR_000030,26,Garantie sur matériel,2439518.78,2024-10-18
31,GAR_000031,27,Caution bancaire,6688509.47,2022-02-28
32,GAR_000032,28,Garantie Tamwilcom,281522.65,2024-07-09
33,GAR_000033,29,Garantie sur matériel,2814000.26,2019-03-26
34,GAR_000034,30,Garantie Tamwilcom,1379613.64,2023-08-05
35,GAR_000035,31,Nantissement,15130092.97,2022-05-29
36,GAR_000036,32,Caution bancaire,7787593.42,2023-02-26
37,GAR_000037,33,Garantie Tamwilcom,668522.91,2024-09-05
38,GAR_000038,34,Garantie sur créances,24289078.01,2024-04-10
39,GAR_000039,38,Nantissement,2615920.77,2024-12-04
40,GAR_000040,38,Garantie sur créances,1786506.93,2024-12-02
41,GAR_000041,39,Nantissement,409627.22,2024-10-18
42,GAR_000042,40,Nantissement,1390469.51,2024-10-02
43,GAR_000043,41,Hypothèque,3368073.62,2024-09-29
44,GAR_000044,41,Garantie Tamwilcom,2806942.11,2024-09-24
45,GAR_000045,42,Garantie sur matériel,1664720.88,2024-10-18
46,GAR_000046,43,Garantie sur fonds de commerce,7290952.0,2021-09-16
47,GAR_000047,43,Garantie de l'État,4951739.88,2021-09-11
48,GAR_000048,43,Aval,3899379.86,2021-09-16
49,GAR_000049,45,Garantie Tamwilcom,802995.27,2024-11-29
50,GAR_000050,46,Hypothèque,836319.43,2024-12-28
51,GAR_000051,48,Caution personnelle,167982.42,2024-09-14
52,GAR_000052,49,Garantie sur matériel,4350205.51,2023-05-21
53,GAR_000053,50,Garantie sur matériel,4794844.22,2024-07-23
54,GAR_000054,51,Garantie sur matériel,3865847.85,2024-04-25
55,GAR_000055,53,Hypothèque,24630251.66,2021-03-20
56,GAR_000056,54,Garantie Tamwilcom,87935.1,2024-11-22
57,GAR_000057,55,Nantissement,14426943.36,2021-05-07
58,GAR_000058,56,Caution bancaire,3328534.56,2023-03-14
59,GAR_000059,57,Garantie Tamwilcom,114694.03,2024-12-18
60,GAR_000060,58,Garantie Tamwilcom,4160863.7,2023-12-24
61,GAR_000061,58,Caution bancaire,3861508.51,2023-12-25
62,GAR_000062,59,Hypothèque,8132560.21,2024-08-01
63,GAR_000063,64,Hypothèque,18338723.33,2023-02-13
64,GAR_000064,65,Garantie Tamwilcom,177418.92,2024-11-25
65,GAR_000065,66,Garantie Tamwilcom,59238.39,2024-09-13
66,GAR_000066,68,Garantie Tamwilcom,295684.35,2024-08-04
67,GAR_000067,70,Garantie sur créances,24033530.8,2019-06-22
68,GAR_000068,71,Caution personnelle,92647.88,2024-08-26
69,GAR_000069,73,Caution personnelle,561156.35,2024-10-25
70,GAR_000070,75,Nantissement,11595037.21,2024-10-18
71,GAR_000071,76,Nantissement,17371730.42,2019-11-07
72,GAR_000072,77,Garantie sur matériel,486761.91,2018-02-15
73,GAR_000073,78,Garantie Tamwilcom,80342.22,2024-11-04
74,GAR_000074,80,Hypothèque,5740538.99,2023-09-23
75,GAR_000075,80,Nantissement,5229049.29,2023-09-22
76,GAR_000076,82,Nantissement,929480.27,2024-03-13
77,GAR_000077,83,Garantie Tamwilcom,140244.65,2024-04-18
78,GAR_000078,84,Garantie Tamwilcom,130892.11,2024-11-19
79,GAR_000079,85,Garantie Tamwilcom,1467537.86,2023-07-30
80,GAR_000080,85,Caution bancaire,1422398.48,2023-07-31
