id_agence,code_agence,nom_agence,ville,id_region,adresse,date_ouverture,statut,region_id
1,AGE_001,BOA Casablanca Zerktouni,Casablanca,1,"N° 173, Avenue des FAR, Casablanca, Maroc",2006-01-24,Active,1
2,AGE_002,BOA Mohammedia Centre,Mohammedia,1,"N° 80, Avenue des FAR, Mohammedia, Maroc",2008-04-05,Active,1
3,AGE_003,BOA Rabat Riad,Rabat,2,"N° 198, Avenue des FAR, Rabat, Maroc",2006-11-24,Active,2
4,AGE_004,BOA Kénitra Maâmora,Kénitra,2,"N° 238, Avenue des FAR, Kénitra, Maroc",2013-02-19,Active,2
5,AGE_005,BOA Fès Hassan II,Fès,3,"N° 118, Avenue des FAR, Fès, Maroc",2005-01-03,Active,3
6,AGE_006,BOA Marrakech Guéliz,Marrakech,4,"N° 65, Avenue des FAR, Marrakech, Maroc",2008-09-20,Active,4
7,AGE_007,BOA Tanger Zone Franche,Tanger,5,"N° 16, Avenue des FAR, Tanger, Maroc",2013-04-23,Active,5
8,AGE_008,BOA Oujda Al Qods,Oujda,6,"N° 176, Avenue des FAR, Oujda, Maroc",2016-09-14,Active,6
9,AGE_009,BOA Agadir Port,Agadir,7,"N° 66, Avenue des FAR, Agadir, Maroc",2012-10-09,Active,7
10,AGE_010,BOA Laâyoune Place Dcheira,Laâyoune,7,"N° 217, Avenue des FAR, Laâyoune, Maroc",2018-01-25,Active,7
